Faction,Section,Unit,Composition,Points
CODEX: ADEPTA SORORITAS,Regular,Aestred Thurga and Agathae Dolan,2 models,70
CODEX: ADEPTA SORORITAS,Regular,Arco-flagellants,3 models,45
CODEX: ADEPTA SORORITAS,Regular,Arco-flagellants,10 models,140
CODEX: ADEPTA SORORITAS,Regular,Battle Sisters Squad,10 models,105
CODEX: ADEPTA SORORITAS,Regular,Canoness,1 model,60
CODEX: ADEPTA SORORITAS,Regular,Canoness with Jump Pack,1 model,75
CODEX: ADEPTA SORORITAS,Regular,Castigator,1 model,160
CODEX: ADEPTA SORORITAS,Regular,Celestian Insidiants,10 models,120
CODEX: ADEPTA SORORITAS,Regular,Celestian Sacresants,5 models,70
CODEX: ADEPTA SORORITAS,Regular,Celestian Sacresants,10 models,140
CODEX: ADEPTA SORORITAS,Regular,Daemonifuge,2 models,85
CODEX: ADEPTA SORORITAS,Regular,Dialogus,1 model,40
CODEX: ADEPTA SORORITAS,Regular,Dogmata,1 model,45
CODEX: ADEPTA SORORITAS,Regular,Dominion Squad,10 models,120
CODEX: ADEPTA SORORITAS,Regular,Exorcist,1 model,210
CODEX: ADEPTA SORORITAS,Regular,Hospitaller,1 model,60
CODEX: ADEPTA SORORITAS,Regular,Imagifier,1 model,65
CODEX: ADEPTA SORORITAS,Regular,Immolator,1 model,115
CODEX: ADEPTA SORORITAS,Regular,Junith Eruita,1 model,80
CODEX: ADEPTA SORORITAS,Regular,Ministorum Priest,1 model,50
CODEX: ADEPTA SORORITAS,Regular,Mortifiers,1 model,70
CODEX: ADEPTA SORORITAS,Regular,Mortifiers,2 models,140
CODEX: ADEPTA SORORITAS,Regular,Morvenn Vahl,1 model,185
CODEX: ADEPTA SORORITAS,Regular,Palatine,1 model,50
CODEX: ADEPTA SORORITAS,Regular,Paragon Warsuits,3 models,210
CODEX: ADEPTA SORORITAS,Regular,Penitent Engines,1 model,75
CODEX: ADEPTA SORORITAS,Regular,Penitent Engines,2 models,150
CODEX: ADEPTA SORORITAS,Regular,Repentia Squad,5 models,75
CODEX: ADEPTA SORORITAS,Regular,Repentia Squad,10 models,160
CODEX: ADEPTA SORORITAS,Regular,Retributor Squad,5 models,120
CODEX: ADEPTA SORORITAS,Regular,Saint Celestine,3 models,150
CODEX: ADEPTA SORORITAS,Regular,Sanctifiers,9 models,110
CODEX: ADEPTA SORORITAS,Regular,Seraphim Squad,5 models,80
CODEX: ADEPTA SORORITAS,Regular,Seraphim Squad,10 models,160
CODEX: ADEPTA SORORITAS,Regular,Sisters Novitiate Squad,10 models,100
CODEX: ADEPTA SORORITAS,Regular,Sororitas Rhino,1 model,75
CODEX: ADEPTA SORORITAS,Regular,Triumph of Saint Katherine,1 model,235
CODEX: ADEPTA SORORITAS,Regular,Zephyrim Squad,5 models,80
CODEX: ADEPTA SORORITAS,Regular,Zephyrim Squad,10 models,160
CODEX: ADEPTA SORORITAS,Detachment Enhancement,Blade of Saint Ellynor,Army of Faith,15
CODEX: ADEPTA SORORITAS,Detachment Enhancement,Divine Aspect,Army of Faith,5
CODEX: ADEPTA SORORITAS,Detachment Enhancement,Litanies of Faith,Army of Faith,10
CODEX: ADEPTA SORORITAS,Detachment Enhancement,Triptych of the Macharian Crusade,Army of Faith,20
CODEX: ADEPTA SORORITAS,Detachment Enhancement,Fire and Fury,Bringers of Flame,30
CODEX: ADEPTA SORORITAS,Detachment Enhancement,Iron Surplice of Saint Istalela,Bringers of Flame,10
CODEX: ADEPTA SORORITAS,Detachment Enhancement,Manual of Saint Griselda,Bringers of Flame,20
CODEX: ADEPTA SORORITAS,Detachment Enhancement,Righteous Rage,Bringers of Flame,15
CODEX: ADEPTA SORORITAS,Detachment Enhancement,Eyes of the Oracle,Champions of Faith,10
CODEX: ADEPTA SORORITAS,Detachment Enhancement,Mark of Devotion,Champions of Faith,30
CODEX: ADEPTA SORORITAS,Detachment Enhancement,Sanctifled Amulet,Champions of Faith,25
CODEX: ADEPTA SORORITAS,Detachment Enhancement,Triptych of Judgement,Champions of Faith,15
CODEX: ADEPTA SORORITAS,Detachment Enhancement,Mantle of Ophelia,Hallowed Martyrs,20
CODEX: ADEPTA SORORITAS,Detachment Enhancement,Saintly Example,Hallowed Martyrs,10
CODEX: ADEPTA SORORITAS,Detachment Enhancement,"Through Sufiering, Strength",Hallowed Martyrs,25
CODEX: ADEPTA SORORITAS,Detachment Enhancement,Catechism of Divine Penitence,Penitent Host,20
CODEX: ADEPTA SORORITAS,Detachment Enhancement,Psalm of Righteous Judgement,Penitent Host,30
CODEX: ADEPTA SORORITAS,Detachment Enhancement,Refrain of Enduring Faith,Penitent Host,25
CODEX: ADEPTA SORORITAS,Detachment Enhancement,Verse of Holy Piety,Penitent Host,15
CODEX: ADEPTUS CUSTODES,Regular,Aleya,1 model,65
CODEX: ADEPTUS CUSTODES,Regular,Allarus Custodians,2 models,110
CODEX: ADEPTUS CUSTODES,Regular,Allarus Custodians,3 models,165
CODEX: ADEPTUS CUSTODES,Regular,Allarus Custodians,5 models,275
CODEX: ADEPTUS CUSTODES,Regular,Allarus Custodians,6 models,330
CODEX: ADEPTUS CUSTODES,Regular,Anathema Psykana Rhino,1 model,75
CODEX: ADEPTUS CUSTODES,Regular,Blade Champion,1 model,120
CODEX: ADEPTUS CUSTODES,Regular,Custodian Guard,4 models,160
CODEX: ADEPTUS CUSTODES,Regular,Custodian Guard,5 models,200
CODEX: ADEPTUS CUSTODES,Regular,Custodian Wardens,4 models,210
CODEX: ADEPTUS CUSTODES,Regular,Custodian Wardens,5 models,260
CODEX: ADEPTUS CUSTODES,Regular,Knight-Centura,1 model,55
CODEX: ADEPTUS CUSTODES,Regular,Prosecutors,4 models,40
CODEX: ADEPTUS CUSTODES,Regular,Prosecutors,5 models,50
CODEX: ADEPTUS CUSTODES,Regular,Prosecutors,9 models,75
CODEX: ADEPTUS CUSTODES,Regular,Prosecutors,10 models,85
CODEX: ADEPTUS CUSTODES,Regular,Shield-Captain,1 model,120
CODEX: ADEPTUS CUSTODES,Regular,Shield-Captain in Allarus Terminator Armour,1 model,130
CODEX: ADEPTUS CUSTODES,Regular,Shield-Captain on Dawneagle Jetbike,1 model,150
CODEX: ADEPTUS CUSTODES,Regular,Trajann Valoris,1 model,140
CODEX: ADEPTUS CUSTODES,Regular,Valerian,1 model,110
CODEX: ADEPTUS CUSTODES,Regular,Venerable Contemptor Dreadnought,1 model,170
CODEX: ADEPTUS CUSTODES,Regular,Venerable Land Raider,1 model,220
CODEX: ADEPTUS CUSTODES,Regular,Vertus Praetors,2 models,150
CODEX: ADEPTUS CUSTODES,Regular,Vertus Praetors,3 models,225
CODEX: ADEPTUS CUSTODES,Regular,Vigilators,4 models,45
CODEX: ADEPTUS CUSTODES,Regular,Vigilators,5 models,55
CODEX: ADEPTUS CUSTODES,Regular,Vigilators,9 models,90
CODEX: ADEPTUS CUSTODES,Regular,Vigilators,10 models,100
CODEX: ADEPTUS CUSTODES,Regular,Witchseekers,4 models,45
CODEX: ADEPTUS CUSTODES,Regular,Witchseekers,5 models,55
CODEX: ADEPTUS CUSTODES,Regular,Witchseekers,9 models,90
CODEX: ADEPTUS CUSTODES,Regular,Witchseekers,10 models,100
CODEX: ADEPTUS CUSTODES,Forge World,Agamatus Custodians,3 models,225
CODEX: ADEPTUS CUSTODES,Forge World,Agamatus Custodians,6 models,450
CODEX: ADEPTUS CUSTODES,Forge World,Aquilon Custodians,3 models,195
CODEX: ADEPTUS CUSTODES,Forge World,Aquilon Custodians,6 models,390
CODEX: ADEPTUS CUSTODES,Forge World,Ares Gunship,1 model,580
CODEX: ADEPTUS CUSTODES,Forge World,Caladius Grav-tank,1 model,215
CODEX: ADEPTUS CUSTODES,Forge World,Contemptor-Achillus Dreadnought,1 model,155
CODEX: ADEPTUS CUSTODES,Forge World,Contemptor-Galatus Dreadnought,1 model,165
CODEX: ADEPTUS CUSTODES,Forge World,Coronus Grav-carrier,1 model,200
CODEX: ADEPTUS CUSTODES,Forge World,Custodian Guard with Adrasite and Pyrithite Spears,5 models,250
CODEX: ADEPTUS CUSTODES,Forge World,Orion Assault Dropship,1 model,690
CODEX: ADEPTUS CUSTODES,Forge World,Pallas Grav-attack,1 model,105
CODEX: ADEPTUS CUSTODES,Forge World,Sagittarum Custodians,5 models,225
CODEX: ADEPTUS CUSTODES,Forge World,Telemon Heavy Dreadnought,1 model,225
CODEX: ADEPTUS CUSTODES,Forge World,Venatari Custodians,3 models,165
CODEX: ADEPTUS CUSTODES,Forge World,Venatari Custodians,6 models,330
CODEX: ADEPTUS CUSTODES,Detachment Enhancement,Blade Imperator,Auric Champions,25
CODEX: ADEPTUS CUSTODES,Detachment Enhancement,Inspirational Exemplar,Auric Champions,10
CODEX: ADEPTUS CUSTODES,Detachment Enhancement,Martial Philosopher,Auric Champions,30
CODEX: ADEPTUS CUSTODES,Detachment Enhancement,Veiled Blade,Auric Champions,25
CODEX: ADEPTUS CUSTODES,Detachment Enhancement,Admonimortis,Lions of the Emperor,10
CODEX: ADEPTUS CUSTODES,Detachment Enhancement,Fierce Conqueror,Lions of the Emperor,15
CODEX: ADEPTUS CUSTODES,Detachment Enhancement,Praesidius,Lions of the Emperor,25
CODEX: ADEPTUS CUSTODES,Detachment Enhancement,Superior Creation,Lions of the Emperor,25
CODEX: ADEPTUS CUSTODES,Detachment Enhancement,Enhanced Voidsheen Cloak,Null Maiden Vigil,10
CODEX: ADEPTUS CUSTODES,Detachment Enhancement,Huntress’ Eye,Null Maiden Vigil,15
CODEX: ADEPTUS CUSTODES,Detachment Enhancement,Oblivion Knight,Null Maiden Vigil,25
CODEX: ADEPTUS CUSTODES,Detachment Enhancement,Raptor Blade,Null Maiden Vigil,5
CODEX: ADEPTUS CUSTODES,Detachment Enhancement,Auric Mantle,Shield Host,15
CODEX: ADEPTUS CUSTODES,Detachment Enhancement,Castellan’s Mark,Shield Host,20
CODEX: ADEPTUS CUSTODES,Detachment Enhancement,From the Hall of Armouries,Shield Host,25
CODEX: ADEPTUS CUSTODES,Detachment Enhancement,Panoptispex,Shield Host,5
CODEX: ADEPTUS CUSTODES,Detachment Enhancement,Adamantine Talisman,Solar Spearhead,25
CODEX: ADEPTUS CUSTODES,Detachment Enhancement,Augury Uplink,Solar Spearhead,35
CODEX: ADEPTUS CUSTODES,Detachment Enhancement,Honoured Fallen,Solar Spearhead,15
CODEX: ADEPTUS CUSTODES,Detachment Enhancement,Veteran of the Kataphraktoi,Solar Spearhead,10
CODEX: ADEPTUS CUSTODES,Detachment Enhancement,Aegis Projector,Talons of the Emperor,20
CODEX: ADEPTUS CUSTODES,Detachment Enhancement,Champion of the Imperium,Talons of the Emperor,25
CODEX: ADEPTUS CUSTODES,Detachment Enhancement,Gift of Terran Artiflce,Talons of the Emperor,15
CODEX: ADEPTUS CUSTODES,Detachment Enhancement,Radiant Mantle,Talons of the Emperor,30
CODEX: ADEPTUS MECHANICUS,Regular,Archaeopter Fusilave,1 model,160
CODEX: ADEPTUS MECHANICUS,Regular,Archaeopter Stratoraptor,1 model,185
CODEX: ADEPTUS MECHANICUS,Regular,Archaeopter Transvector,1 model,150
CODEX: ADEPTUS MECHANICUS,Regular,Belisarius Cawl,1 model,210
CODEX: ADEPTUS MECHANICUS,Regular,Corpuscarii Electro-Priests,5 models,65
CODEX: ADEPTUS MECHANICUS,Regular,Corpuscarii Electro-Priests,10 models,130
CODEX: ADEPTUS MECHANICUS,Regular,Cybernetica Datasmith,1 model,35
CODEX: ADEPTUS MECHANICUS,Regular,Fulgurite Electro-Priests,5 models,70
CODEX: ADEPTUS MECHANICUS,Regular,Fulgurite Electro-Priests,10 models,140
CODEX: ADEPTUS MECHANICUS,Regular,IronstriderBallistarii,1 model,85
CODEX: ADEPTUS MECHANICUS,Regular,IronstriderBallistarii,2 models,170
CODEX: ADEPTUS MECHANICUS,Regular,IronstriderBallistarii,3 models,255
CODEX: ADEPTUS MECHANICUS,Regular,Kastelan Robots,2 models,180
CODEX: ADEPTUS MECHANICUS,Regular,Kastelan Robots,4 models,360
CODEX: ADEPTUS MECHANICUS,Regular,Kataphron Breachers,3 models,160
CODEX: ADEPTUS MECHANICUS,Regular,Kataphron Breachers,6 models,320
CODEX: ADEPTUS MECHANICUS,Regular,Kataphron Destroyers,3 models,105
CODEX: ADEPTUS MECHANICUS,Regular,Kataphron Destroyers,6 models,210
CODEX: ADEPTUS MECHANICUS,Regular,Onager Dunecrawler,1 model,155
CODEX: ADEPTUS MECHANICUS,Regular,Pteraxii Skystalkers,5 models,75
CODEX: ADEPTUS MECHANICUS,Regular,Pteraxii Skystalkers,10 models,150
CODEX: ADEPTUS MECHANICUS,Regular,Pteraxii Sterylizors,5 models,80
CODEX: ADEPTUS MECHANICUS,Regular,Pteraxii Sterylizors,10 models,160
